惠济区,升龙汇金广场！可月付！免费看房！实际拍摄,升龙汇金,面积：22.00㎡,"['楼层：24/25层', '朝向：南', '户型：4室1厅1厨1卫']",风格：青春派,入住时间：立即入住,,地址：南阳路与东风路交汇处向北300米路西,900
惠济区,升龙汇金写字楼！温馨舒适！可月付！免费看房!,升龙汇金,面积：16.00㎡,"['楼层：10/25层', '朝向：南', '户型：4室1厅1厨1卫']",风格：阳光橙,入住时间：立即入住,,地址：南阳路与东风路交汇处向北300米路西,800
惠济区,升龙汇金写字楼！主卧带阳台！爱情海系列！,升龙汇金,面积：26.00㎡,"['楼层：13/25层', '朝向：南', '户型：4室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,,地址：南阳路与东风路交汇处向北300米路西,1000
惠济区,升龙汇金广场！次卧大空间,升龙汇金,面积：18.00㎡,"['楼层：21/32层', '朝向：南', '户型：4室1厅1厨1卫']",风格：柠檬树,入住时间：立即入住,,地址：南阳路与东风路交汇处向北300米路西,750
二七区,空间大  采光好  温馨舒适,富华花苑低层,面积：10.90㎡,"['楼层：3/7层', '朝向：南', '户型：4室1厅1厨2卫']",风格：柠檬树,入住时间：立即入住,飘窗,地址：大学路汉江路交叉口西南角,700
二七区,家电家具齐全全新，20兆wifi，随时带看房,兴华雅苑,面积：16.00㎡,"['楼层：14/29层', '朝向：北', '户型：4室1厅1厨2卫']",风格：卡布奇诺,入住时间：立即入住,,地址：郑航路与兴华南街交汇处往南300米路西,830
二七区,【悦如公寓】二七万达 邻近地铁五号线 实拍精装次卧飘窗,万千世纪城,面积：10.30㎡,"['楼层：20/34层', '朝向：南', '户型：3室1厅1厨1卫']",风格：柠檬树,入住时间：立即入住,,地址：人和路与汉江路交汇处西南角,900
二七区,【悦如公寓】二七万达 邻近地铁五号线 实拍精装单间,万千世纪城,面积：10.20㎡,"['楼层：20/34层', '朝向：南', '户型：3室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,飘窗,地址：人和路与汉江路交汇处西南角,730
郑东新区,【悦如公寓】布置温馨 拎包入住,旭日龙园,面积：14.00㎡,"['楼层：11/26层', '朝向：南', '户型：6室1厅1厨1卫']",风格：普通,入住时间：立即入住,,地址：康平路与福禄东路交叉口西南方,430
郑东新区,【悦如公寓】布置温馨 拎包入住,旭日龙园,面积：10.00㎡,"['楼层：11/26层', '朝向：南', '户型：6室1厅1厨1卫']",风格：普通,入住时间：立即入住,,地址：康平路与福禄东路交叉口西南方,680
郑东新区,【悦如公寓】布置温馨 拎包入住,旭日龙园,面积：14.00㎡,"['楼层：11/26层', '朝向：南', '户型：6室1厅1厨1卫']",风格：普通,入住时间：立即入住,,地址：康平路与福禄东路交叉口西南方,780
郑东新区,【悦如公寓】 大空间 布局温馨 拎包住,安和小区,面积：21.00㎡,"['楼层：5/33层', '朝向：南', '户型：5室1厅1厨2卫']",风格：青春派,入住时间：立即入住,,地址：文苑南路与邢庄北街交叉口,1130
郑东新区,悦如公寓 高铁站旁 交通便利 价格优惠,东瑞园,面积：15.00㎡,"['楼层：10/27层', '朝向：南', '户型：4室1厅1厨2卫']",风格：阳光橙,入住时间：立即入住,,地址：农业南路商都路交叉口,1060
郑东新区,悦如公寓 高铁站旁 精装单间 性价比高,东瑞园,面积：12.00㎡,"['楼层：10/27层', '朝向：南', '户型：4室1厅1厨2卫']",风格：青春派,入住时间：立即入住,,地址：农业南路商都路交叉口,1080
惠济区,北大学城！临万科广场！拎包入住！,杨庄惠弘新园,面积：20.00㎡,"['楼层：10/31层', '朝向：南', '户型：4室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：北大学城文化路与英才街西200米路南惠弘新园,1080
惠济区,北大学城！临万科广场！拎包入住！家具家电齐,杨庄惠弘新园,面积：10.50㎡,"['楼层：8/29层', '朝向：南', '户型：3室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,飘窗,地址：北大学城文化路与英才街西200米路南惠弘新园,980
惠济区,北大学城！临万科广场！拎包入住！家具家电齐,杨庄惠弘新园,面积：10.50㎡,"['楼层：28/29层', '朝向：南', '户型：3室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,飘窗,地址：北大学城文化路与英才街西200米路南惠弘新园,980
惠济区,惠济万科！北大学城！精美次卧！温馨舒适!带阳台！,杨庄惠弘新园,面积：24.00㎡,"['楼层：5/32层', '朝向：南', '户型：5室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：北大学城文化路与英才街西200米路南惠弘新园,1060
二七区,二七万达金街，地铁五号线，大空间阳台，舒适房,万千世纪城,面积：18.20㎡,"['楼层：34/34层', '朝向：南', '户型：4室1厅1厨2卫']",风格：青春派,入住时间：立即入住,,地址：人和路与汉江路交汇处西南角,930
二七区,二七万达旁，地铁五号线，朝南主卧飘窗，看房随时,万千世纪城,面积：16.20㎡,"['楼层：22/34层', '朝向：南', '户型：3室1厅1厨1卫']",风格：青春派,入住时间：立即入住,飘窗,地址：人和路与汉江路交汇处西南角,900
二七区,二七万达金街，二院地铁口，朝南主卧独卫，大空间精装修,万千世纪城,面积：25.10㎡,"['楼层：21/34层', '朝向：南', '户型：4室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,独卫,地址：人和路与汉江路交汇处西南角,1200
二七区,二七万达广场 地铁五号线 朝南飘窗独卫 大空间,万千世纪城,面积：25.10㎡,"['楼层：18/34层', '朝向：南', '户型：4室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,独卫,地址：人和路与汉江路交汇处西南角,1200
二七区,【悦如公寓】二七万达 邻近地铁五号线 实拍主卧阳台房,万千世纪城,面积：16.20㎡,"['楼层：30/34层', '朝向：西南', '户型：3室1厅1厨1卫']",风格：青春派,入住时间：立即入住,,地址：人和路与汉江路交汇处西南角,960
惠济区,惠济万达！北大学城！精美次卧！温馨舒适!,绿城银水湾,面积：9.00㎡,"['楼层：25/25层', '朝向：南', '户型：9室2厅1厨3卫']",风格：青春派,入住时间：立即入住,,地址：文化路开元路向西500米路南,620
惠济区,惠济万达对面 朝南优化间 大飘窗 家电齐全 拎包入住,木马嘉苑,面积：14.00㎡,"['楼层：7/26层', '朝向：南', '户型：4室1厅1厨2卫']",风格：阳光橙,入住时间：立即入住,,地址：文化路与开元路交叉口向西200米路南,780
惠济区,惠济区木马嘉苑小区精装公寓,木马嘉苑,面积：14.00㎡,"['楼层：16/28层', '朝向：南', '户型：6室1厅1厨4卫']",风格：普通,入住时间：立即入住,,地址：文化路与开元路交叉口向西200米路南,800
惠济区,惠济万达旁木马嘉苑精美公寓单间,木马嘉苑,面积：12.00㎡,"['楼层：26/31层', '朝向：南', '户型：4室2厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：文化路与开元路交叉口向西200米路南,700
惠济区,惠济万达旁木马嘉苑主卧带独卫,木马嘉苑,面积：19.00㎡,"['楼层：26/31层', '朝向：南', '户型：4室2厅1厨2卫']",风格：普通,入住时间：立即入住,独卫,地址：文化路与开元路交叉口向西200米路南,1200
惠济区,惠济万达！北大学城！精美次卧！温馨舒适!,木马嘉苑,面积：12.50㎡,"['楼层：7/26层', '朝向：南', '户型：5室1厅1厨2卫']",风格：青春派,入住时间：立即入住,,地址：文化路与开元路交叉口向西200米路南,860
惠济区,惠济万达！北大学城！精美主卧独卫！温馨舒适!,木马嘉苑,面积：25.00㎡,"['楼层：7/26层', '朝向：南', '户型：5室1厅1厨2卫']",风格：爱琴海,入住时间：立即入住,独卫,地址：文化路与开元路交叉口向西200米路南,1380
惠济区,惠济万达！北大学城！精美主卧！温馨舒适!,木马嘉苑,面积：14.00㎡,"['楼层：25/25层', '朝向：南', '户型：4室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：文化路与开元路交叉口向西200米路南,900
惠济区,升龙汇金广场！可月付！免费看房！实际拍摄,升龙汇金,面积：20.00㎡,"['楼层：10/25层', '朝向：南', '户型：4室1厅1厨1卫']",风格：青春派,入住时间：立即入住,,地址：南阳路与东风路交汇处向北300米路西,900
惠济区,惠济万科！北大学城！精美次卧！温馨舒适!,杨庄惠弘新园,面积：11.00㎡,"['楼层：26/29层', '朝向：南', '户型：3室1厅1厨1卫']",风格：普通,入住时间：立即入住,,地址：北大学城文化路与英才街西200米路南惠弘新园,980
惠济区,惠济万科！北大学城！精美主卧！温馨舒适!,杨庄惠弘新园,面积：12.00㎡,"['楼层：26/29层', '朝向：南', '户型：3室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,,地址：北大学城文化路与英才街西200米路南惠弘新园,980
惠济区,惠济万科！北大学城！精美主卧！温馨舒适!,杨庄惠弘新园,面积：12.00㎡,"['楼层：15/29层', '朝向：南', '户型：3室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,,地址：北大学城文化路与英才街西200米路南惠弘新园,980
二七区,家电家具齐全全新，20兆wifi，随时带看房,珍景花园,面积：11.54㎡,"['楼层：14/32层', '朝向：南', '户型：4室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,,地址：二七区大学路长江路交叉口往南100米路东,830
二七区,家电家具齐全全新，20兆wifi，随时带看房,珍景花园,面积：10.23㎡,"['楼层：2/26层', '朝向：南', '户型：4室1厅1厨2卫']",风格：卡布奇诺,入住时间：立即入住,,地址：二七区大学路长江路交叉口往南100米路东,800
二七区,大卧室，家电家具齐全全新，20兆wifi，随时带看房,珍景花园,面积：18.30㎡,"['楼层：18/32层', '朝向：南', '户型：4室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,,地址：二七区大学路长江路交叉口往南100米路东,900
二七区,【悦如公寓】二七万达 邻近地铁五号线 实拍优化间带阳台,万千世纪城,面积：15.30㎡,"['楼层：13/34层', '朝向：东', '户型：3室1厅1厨1卫']",风格：青春派,入住时间：立即入住,,地址：人和路与汉江路交汇处西南角,960
郑东新区,【悦如公寓】布置温馨 拎包入住,东方鼎盛时代,面积：26.00㎡,"['楼层：6/28层', '朝向：北', '户型：6室1厅1厨1卫']",风格：卡布奇诺,入住时间：立即入住,飘窗,地址：郑东新区金水东路与农业东路南600米,750
郑东新区,【悦如公寓】精装全齐，布置温馨,海马公园一期,面积：14.00㎡,"['楼层：5/33层', '朝向：南', '户型：5室0厅1厨1卫']",风格：普通,入住时间：立即入住,,地址：郑东新区东风南路与福禄路交叉口东150米,720
郑东新区,【悦如公寓】【市体育中心附近】环境优美  管理规范 高品质公寓,正商铂钻一期,面积：12.00㎡,"['楼层：4/33层', '朝向：南', '户型：9室0厅1厨3卫']",风格：卡布奇诺,入住时间：立即入住,,地址：金水东路与博学路交会处向东200米路南,750
郑东新区,悦如公寓 大旺城斜对面祭城5号院 全新装修 拎包入住,祭城小区5号院,面积：15.00㎡,"['楼层：22/31层', '朝向：南', '户型：3室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,,地址：金水区心怡路盛和街交叉口,1080
郑东新区,【市体育中心旁】房间布置温馨 干净整洁 温馨如家 家电全齐,安和小区,面积：14.00㎡,"['楼层：19/27层', '朝向：南', '户型：4室2厅1厨2卫']",风格：阳光橙,入住时间：立即入住,,地址：文苑南路与邢庄北街交叉口,830
郑东新区,房间便宜，在熊耳河旁边，周边环境好，,旭日龙园,面积：16.00㎡,"['楼层：18/26层', '朝向：西', '户型：6室1厅1厨1卫']",风格：阳光橙,入住时间：立即入住,,地址：康平路与福禄东路交叉口西南方,680
郑东新区,【悦如公寓】暗间  黄河南路陇海路交叉口,宜居苑,面积：11.00㎡,"['楼层：17/22层', '朝向：南', '户型：6室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：黄河南路与陇海高架交叉口,430
郑东新区,悦如公寓 黄河南路 交通便利 性价比高,宜居苑,面积：12.00㎡,"['楼层：17/22层', '朝向：南', '户型：6室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：黄河南路与陇海高架交叉口,500
惠济区,木马嘉苑壹号院9-1-906隔断间,木马嘉苑,面积：13.91㎡,"['楼层：9/26层', '朝向：南', '户型：4室0厅1厨2卫']",风格：纽约故事,入住时间：立即入住,,地址：文化路与开元路交叉口向西200米路南,760
惠济区,开元路万达旁 东风渠 瞰景高层 温馨舒适双人间 免费看房,碧源月湖景园,面积：11.34㎡,"['楼层：19/32层', '朝向：南', '户型：4室1厅1厨2卫']",风格：柠檬树,入住时间：立即入住,,地址：惠济区开元路新城路,974
惠济区,升龙汇金广场！可月付！免费看房！实际拍摄,升龙汇金,面积：23.00㎡,"['楼层：11/25层', '朝向：南', '户型：4室1厅1厨1卫']",风格：青春派,入住时间：立即入住,飘窗,地址：南阳路与东风路交汇处向北300米路西,930
惠济区,惠济万达！北大学城！精美主卧独卫！温馨舒适!,木马嘉苑,面积：22.00㎡,"['楼层：7/25层', '朝向：南', '户型：4室1厅1厨2卫']",风格：爱琴海,入住时间：立即入住,独卫,地址：文化路与开元路交叉口向西200米路南,1430
惠济区,惠济万达！北大学城！精美次卧！温馨舒适!,木马嘉苑,面积：15.00㎡,"['楼层：5/25层', '朝向：南', '户型：4室1厅1厨2卫']",风格：阳光橙,入住时间：立即入住,,地址：文化路与开元路交叉口向西200米路南,980
惠济区,惠济万达！北大学城！精美次卧！温馨舒适!,木马嘉苑,面积：12.00㎡,"['楼层：5/25层', '朝向：南', '户型：4室1厅1厨2卫']",风格：青春派,入住时间：立即入住,飘窗,地址：文化路与开元路交叉口向西200米路南,880
惠济区,惠济万达！北大学城！精美主卧！温馨舒适!,民安北郡,面积：12.00㎡,"['楼层：16/19层', '朝向：南', '户型：4室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,,地址：开元路金河路交叉口西北角民安北郡2期,960
惠济区,惠济万科！北大学城！精美主卧！温馨舒适!,杨庄惠弘新园,面积：12.00㎡,"['楼层：16/32层', '朝向：南', '户型：3室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,,地址：北大学城文化路与英才街西200米路南惠弘新园,980
惠济区,惠济万科！北大学城！精美次卧！温馨舒适!,杨庄惠弘新园,面积：11.00㎡,"['楼层：10/29层', '朝向：南', '户型：3室1厅1厨1卫']",风格：普通,入住时间：立即入住,,地址：北大学城文化路与英才街西200米路南惠弘新园,930
惠济区,惠济万科！北大学城！精美主卧！温馨舒适!,杨庄惠弘新园,面积：15.00㎡,"['楼层：11/29层', '朝向：南', '户型：3室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,飘窗,地址：北大学城文化路与英才街西200米路南惠弘新园,980
二七区,位置好，空间感强，采光好,升龙世纪花园二区,面积：17.56㎡,"['楼层：12/34层', '朝向：东南', '户型：3室2厅1厨1卫']",风格：阳光橙,入住时间：立即入住,飘窗,地址：大学路政通路东200米,960
二七区,超大空间，阳光房，主卧独卫,升龙世纪花园二区,面积：15.26㎡,"['楼层：24/34层', '朝向：东北', '户型：4室2厅1厨2卫']",风格：阳光橙,入住时间：立即入住,,地址：大学路政通路东200米,900
二七区,【悦如公寓】二七万达 邻近地铁五号线 实拍精装单间,万千世纪城,面积：12.50㎡,"['楼层：5/34层', '朝向：北', '户型：3室1厅1厨1卫']",风格：柠檬树,入住时间：立即入住,飘窗,地址：人和路与汉江路交汇处西南角,600
郑东新区,悦如公寓 单间出租 高铁站旁  精装全齐,龙岗新城（贾岗社区）,面积：15.00㎡,"['楼层：19/27层', '朝向：东', '户型：3室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,,地址：金水东路与107辅道交叉口东北角,1030
郑东新区,建业五栋大楼 朝南外挑阳台 超大卧室,中南海知音（藏海）,面积：22.00㎡,"['楼层：23/25层', '朝向：南', '户型：3室1厅1厨1卫']",风格：纽约故事,入住时间：立即入住,,地址：商都路与十里铺交叉口向北100米路东,1160
郑东新区,【悦如青年公寓】【农业南路地铁口】【精品单间】【价格优惠】,东方鼎盛时代,面积：8.00㎡,"['楼层：5/11层', '朝向：东南', '户型：6室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：郑东新区金水东路与农业东路南600米,500
郑东新区,【悦如公寓】精装修，拎包入住，房间布置外型时尚,晖达新领地一期,面积：12.00㎡,"['楼层：18/18层', '朝向：南', '户型：4室1厅1厨1卫']",风格：柠檬树,入住时间：立即入住,飘窗,地址：心怡路和光正路交叉口向东180米路南,1200
郑东新区,【悦如公寓】简单装修带空调，空间大，优惠大次卧，临高铁,新里·卢浮公馆,面积：10.00㎡,"['楼层：10/28层', '朝向：南', '户型：6室1厅1厨2卫']",风格：纽约故事,入住时间：立即入住,,地址：东风东路与永平路交汇处南200米路东,830
郑东新区,【悦如公寓】精装修 采光好 南北通透 布置温馨 超大阳台,安和小区,面积：21.00㎡,"['楼层：15/25层', '朝向：南', '户型：5室1厅1厨2卫']",风格：纽约故事,入住时间：立即入住,,地址：文苑南路与邢庄北街交叉口,1100
郑东新区,安和小区郑东新区文苑南路北后贾东西街6号楼1单元2楼206房间A卧,安和小区,面积：21.00㎡,"['楼层：2/31层', '朝向：南', '户型：5室1厅1厨1卫']",风格：青春派,入住时间：立即入住,,地址：文苑南路与邢庄北街交叉口,1080
郑东新区,【悦如公寓】精装修 南北通透 采光好 超大阳台,郑河小区,面积：12.00㎡,"['楼层：13/25层', '朝向：南', '户型：5室1厅1厨2卫']",风格：纽约故事,入住时间：立即入住,,地址：郑东新区东风南路与正光北街交叉口,900
郑东新区,临近郑州东站 楷林IFC 悦如公寓单间出租，精装全齐,龙岗新城（贾岗社区）,面积：15.00㎡,"['楼层：13/27层', '朝向：南', '户型：4室1厅1厨1卫']",风格：普通,入住时间：立即入住,,地址：金水东路与107辅道交叉口东北角,666
惠济区,惠济万达！北大学城！精美主卧！温馨舒适!,木马嘉苑,面积：13.00㎡,"['楼层：15/26层', '朝向：南', '户型：4室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：文化路与开元路交叉口向西200米路南,930
二七区,【悦如公寓】二七万达 邻近地铁五号线 实拍精装单间,万千世纪城,面积：10.20㎡,"['楼层：8/34层', '朝向：西南', '户型：3室1厅1厨1卫']",风格：柠檬树,入住时间：立即入住,,地址：人和路与汉江路交汇处西南角,730
郑东新区,【悦如公寓】【有阳台】【干净卫生】【采光好】【温馨布置】,中力七里湾,面积：10.00㎡,"['楼层：26/26层', '朝向：南', '户型：6室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：郑东新区商都路交叉口东南角麦德龙南100米,530
郑东新区,郑州东站 悦如公寓 楷林IFC旁 主卧带飘窗,龙岗新城（贾岗社区）,面积：18.00㎡,"['楼层：11/27层', '朝向：南', '户型：3室1厅1厨1卫']",风格：普通,入住时间：立即入住,飘窗,地址：金水东路与107辅道交叉口东北角,930
郑东新区,悦如公寓 临近郑州东站 楷林IFC  龙岗新城 温馨次卧,龙岗新城（贾岗社区）,面积：8.00㎡,"['楼层：8/27层', '朝向：南', '户型：4室1厅1厨1卫']",风格：普通,入住时间：立即入住,,地址：金水东路与107辅道交叉口东北角,980
郑东新区,悦如公寓 临近郑州东站 楷林IFC  龙岗新城 全新装修单间,龙岗新城（贾岗社区）,面积：18.00㎡,"['楼层：8/27层', '朝向：南', '户型：4室1厅1厨1卫']",风格：普通,入住时间：立即入住,,地址：金水东路与107辅道交叉口东北角,880
郑东新区,【悦如公寓】空间大 飘窗 南北通透,正商铂钻一期,面积：10.00㎡,"['楼层：12/12层', '朝向：南', '户型：5室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：金水东路与博学路交会处向东200米路南,760
郑东新区,悦如公寓，精装合租单间,龙岗新城（贾岗社区）,面积：15.00㎡,"['楼层：6/6层', '朝向：南', '户型：4室1厅1厨1卫']",风格：普通,入住时间：立即入住,,地址：金水东路与107辅道交叉口东北角,880
郑东新区,【悦如公寓】豪华装修，拎包入住，精装修,永威五月花城,面积：10.00㎡,"['楼层：14/32层', '朝向：南', '户型：6室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：郑东新区明理路与姚桥路交汇处东北角,560
郑东新区,财信小区 近华丰灯饰界 朝南温馨单间  交通便利,财信圣堤亚纳,面积：12.00㎡,"['楼层：13/29层', '朝向：南', '户型：6室0厅0厨2卫']",风格：普通,入住时间：立即入住,,地址：黄河南路与商都路向南200米路西,600
郑东新区,升龙凤凰城A区 郑汴路 带独卫 朝南,升龙凤凰城A区,面积：18.00㎡,"['楼层：30/30层', '朝向：南', '户型：4室1厅1厨2卫']",风格：普通,入住时间：立即入住,独卫,地址：未来路郑汴路交叉口向南400米路东,1560
郑东新区,悦如公寓，广电家属院，朝南大面积， 超大飘窗，温馨装修,郑州广播电视大学家属院,面积：18.00㎡,"['楼层：2/6层', '朝向：南', '户型：5室1厅1厨2卫']",风格：青春派,入住时间：立即入住,,地址：金水东路与107辅导交叉口向北800米路东,1080
郑东新区,悦如公寓 磨李社区 精装次卧,磨李社区,面积：16.00㎡,"['楼层：5/6层', '朝向：西', '户型：4室1厅1厨1卫']",风格：柠檬树,入住时间：立即入住,,地址：博学路与姚桥路交叉口磨李社区,700
郑东新区,悦如公寓 精装主卧飘窗,磨李社区,面积：18.00㎡,"['楼层：5/6层', '朝向：西', '户型：4室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,,地址：博学路与姚桥路交叉口磨李社区,850
郑东新区,悦如公寓 高铁东站 商都嘉园精装主卧独卫 家电齐全,商都嘉园,面积：18.00㎡,"['楼层：20/30层', '朝向：南', '户型：4室1厅1厨2卫']",风格：爱琴海,入住时间：立即入住,,地址：商定路徐庄街交叉口,1100
郑东新区,永威翰林居 郑东儿童医院 颐和医院旁  主卧独卫,永威翰林居,面积：25.00㎡,"['楼层：5/6层', '朝向：南', '户型：5室1厅1厨2卫']",风格：普通,入住时间：立即入住,独卫,地址：郑东新区九如东路与龙湖外环路南路向北100米,1530
郑东新区,悦如公寓单间出租，屋子超级干净整洁。,祭城26号院,面积：15.00㎡,"['楼层：24/29层', '朝向：南', '户型：3室1厅1厨1卫']",风格：普通,入住时间：立即入住,,地址：心怡路畅和街交叉口,980
郑东新区,悦如公寓 心怡路26号院 主卧带飘窗 全新装修,祭城26号院,面积：15.00㎡,"['楼层：24/29层', '朝向：南', '户型：3室1厅1厨1卫']",风格：普通,入住时间：立即入住,,地址：心怡路畅和街交叉口,1180
郑东新区,【悦如公寓】精装修 采光好 南北通透 超大阳台,安和小区,面积：20.00㎡,"['楼层：5/20层', '朝向：东', '户型：4室1厅1厨2卫']",风格：纽约故事,入住时间：立即入住,,地址：文苑南路与邢庄北街交叉口,1130
郑东新区,悦如公寓 体育中心站附近 朝南采光好 空间大,安和小区,面积：10.00㎡,"['楼层：30/33层', '朝向：南', '户型：5室1厅1厨1卫']",风格：卡布奇诺,入住时间：立即入住,,地址：文苑南路与邢庄北街交叉口,980
郑东新区,龙岗新城 精装修 南门口 交通便利,龙岗新城,面积：18.00㎡,"['楼层：6/6层', '朝向：南', '户型：4室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,,地址：郑东新区金水东路与107辅道交汇处,980
郑东新区,龙岗新城 郑州东站附近 精装修 可月付 可短租,龙岗新城,面积：17.00㎡,"['楼层：8/24层', '朝向：南', '户型：4室1厅1厨1卫']",风格：柠檬树,入住时间：立即入住,,地址：郑东新区金水东路与107辅道交汇处,980
郑东新区,悦如公寓 正光路 交通便利 价格超低,厚河园,面积：17.00㎡,"['楼层：9/22层', '朝向：南', '户型：5室1厅1厨2卫']",风格：青春派,入住时间：立即入住,,地址：郑东新区陈庄街22号,900
郑东新区,正商铂钻 朝南主卧独卫 爱琴海,正商铂钻一期,面积：18.00㎡,"['楼层：5/11层', '朝向：南', '户型：5室1厅1厨2卫']",风格：爱琴海,入住时间：立即入住,,地址：金水东路与博学路交会处向东200米路南,1530
郑东新区,悦如公寓 东站附近 大旺城附近 精装次卧 家电齐全 随时看房,心怡路教师家属院,面积：15.00㎡,"['楼层：2/6层', '朝向：南', '户型：4室1厅1厨2卫']",风格：柠檬树,入住时间：立即入住,,地址：畅和街心怡路交叉口,800
郑东新区,悦如公寓 体育中心站附近 单间空间大 居住舒适,安和小区,面积：10.00㎡,"['楼层：30/33层', '朝向：南', '户型：5室1厅1厨1卫']",风格：柠檬树,入住时间：立即入住,,地址：文苑南路与邢庄北街交叉口,830
郑东新区,采光好  价格低 长期出租,祭城26号院,面积：15.00㎡,"['楼层：15/27层', '朝向：南', '户型：3室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,,地址：心怡路畅和街交叉口,1130
郑东新区,【悦如公寓】【市体育中心附近】环境优美  管理规范 高品质公寓,正商铂钻一期,面积：10.00㎡,"['楼层：4/33层', '朝向：南', '户型：9室0厅1厨3卫']",风格：青春派,入住时间：立即入住,,地址：金水东路与博学路交会处向东200米路南,650
郑东新区,【悦如公寓】精装修 南北通透 采光好 朝南,安和小区,面积：20.00㎡,"['楼层：24/33层', '朝向：南', '户型：4室1厅1厨2卫']",风格：青春派,入住时间：立即入住,,地址：文苑南路与邢庄北街交叉口,1430
郑东新区,悦如公寓 黄河南路交通便利 朝南大阳台,瑞豪上林苑,面积：16.00㎡,"['楼层：4/28层', '朝向：南', '户型：4室2厅1厨1卫']",风格：爱琴海,入住时间：立即入住,,地址：七里河与商都路交汇处南200米,1030
郑东新区,正商书香华府 精装修,正商书香华府,面积：16.00㎡,"['楼层：7/8层', '朝向：南', '户型：5室1厅1厨3卫']",风格：青春派,入住时间：立即入住,,地址：郑东新区明理路与姚桥路交汇处向东800米路北,900
郑东新区,正商书香华府 主卧独卫,正商书香华府,面积：28.00㎡,"['楼层：7/8层', '朝向：南', '户型：5室1厅1厨3卫']",风格：爱琴海,入住时间：立即入住,独卫,地址：郑东新区明理路与姚桥路交汇处向东800米路北,1370
郑东新区,悦如公寓 五号线地铁口旁 精装修 温馨舒适,祭城6号院,面积：16.00㎡,"['楼层：4/4层', '朝向：南', '户型：5室1厅1厨2卫']",风格：卡布奇诺,入住时间：立即入住,,地址：心怡路与盛和街交汇东北角,1000
郑东新区,悦如公寓 精装次卧 价格优惠 大旺城旁,祭城36号院,面积：15.00㎡,"['楼层：25/26层', '朝向：南', '户型：5室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：金水东路心怡路36号,850
郑东新区,福泽门  生活方便  门口超市云集,福泽门,面积：13.00㎡,"['楼层：27/27层', '朝向：南', '户型：5室1厅1厨2卫']",风格：普通,入住时间：立即入住,,地址：郑东新区十里铺街与商鼎路交汇南200米路西,900
郑东新区,【悦如公寓】【卢浮宫馆】【家电齐全】,新里·卢浮公馆,面积：16.00㎡,"['楼层：10/28层', '朝向：南', '户型：6室1厅1厨2卫']",风格：爱琴海,入住时间：立即入住,,地址：东风东路与永平路交汇处南200米路东,700
郑东新区,悦如公寓 装修齐全 温馨精致 价格实惠,祭城小区5号院,面积：12.00㎡,"['楼层：4/6层', '朝向：南', '户型：4室1厅1厨1卫']",风格：青春派,入住时间：立即入住,,地址：金水区心怡路盛和街交叉口,880
郑东新区,悦如公寓 精装齐全 实惠单间 温馨舒适,祭城小区5号院,面积：12.00㎡,"['楼层：4/6层', '朝向：南', '户型：4室1厅1厨1卫']",风格：柠檬树,入住时间：立即入住,,地址：金水区心怡路盛和街交叉口,830
郑东新区,悦如公寓 朝南主卧 大阳台 精装修,易居郑东,面积：18.00㎡,"['楼层：9/11层', '朝向：南', '户型：4室1厅1厨1卫']",风格：普通,入住时间：立即入住,,地址：郑东新区中兴路与熊耳河路交汇处,1000
郑东新区,朝南次卧，带阳台，精装全齐,五行嘉园,面积：19.00㎡,"['楼层：18/25层', '朝向：南', '户型：4室1厅1厨2卫']",风格：青春派,入住时间：立即入住,飘窗,地址：郑东新区商务内环路,1500
郑东新区,朝南飘窗，温馨次卧，精装全齐,龙翔嘉苑10号院,面积：16.00㎡,"['楼层：8/20层', '朝向：南', '户型：4室1厅1厨1卫']",风格：爱琴海,入住时间：立即入住,飘窗,地址：龙湖外环路龙翼七街交叉口,900
